Berry Phase Accumulation Data
===========================

Final Berry Phases:
State 0: 6.15044408
State 1: 6.21618108
State 2: 6.18742736
State 3: 2.09841554

Accumulated Berry Phases vs Theta:
Theta (degrees)	State 0	State 1	State 2	State 3
0.00	0.00000000	0.00000000	0.00000000	0.00000000	
7.35	0.50000000	5.78466548	5.78689528	5.78543614	
14.69	1.00000000	5.28652084	5.29066420	0.00025340	
22.04	1.50000000	5.78392778	5.78661147	0.49860629	
29.39	2.00000000	6.28005616	6.28179441	0.99733259	
36.73	2.50000000	0.49097009	0.49226741	1.49639512	
44.08	3.00000000	0.98227491	0.98356616	1.99571888	
51.43	3.50000000	1.47066972	1.47226391	2.49521049	
58.78	4.00000000	1.95748392	1.95951449	2.99476984	
66.12	4.50000000	2.44512537	2.44752484	3.49429529	
73.47	5.00000000	2.93541331	2.93792641	3.99368587	
80.82	5.50000000	3.42865275	3.43088041	4.49284505	
88.16	6.00000000	3.92419659	3.92565117	4.99168990	
95.51	0.21681469	4.42124819	4.42141153	5.49016810	
102.86	0.71681469	4.91919447	4.91758406	5.98828039	
110.20	1.21681469	5.41762168	5.41386703	0.20291349	
117.55	1.71681469	5.91624347	5.91015795	0.70058027	
124.90	2.21681469	0.13164220	0.12326412	1.19827837	
132.24	2.71681469	0.62994559	0.61952952	1.69618207	
139.59	3.21681469	1.12764820	1.11561067	2.19441208	
146.94	3.71681469	1.62427649	1.61111998	2.69301551	
154.29	4.21681469	2.11914486	2.10538419	3.19197290	
161.63	4.71681469	2.61144532	2.59754485	3.69121937	
168.98	5.21681469	3.10074360	3.08706041	4.19066597	
176.33	5.71681469	3.58784231	3.57457283	4.69021401	
183.67	6.21681469	4.07494102	4.06208525	5.18976206	
191.02	0.43362938	4.56423930	4.55160081	5.68920866	
198.37	0.93362938	5.05653976	5.04376147	6.18845513	
205.71	1.43362938	5.55140814	5.53802567	0.40422721	
213.06	1.93362938	6.04803642	6.03353498	0.90283064	
220.41	2.43362938	0.26255373	0.24643082	1.40106065	
227.76	2.93362938	0.76085711	0.74269623	1.89896435	
235.10	3.43362938	1.25944115	1.23898771	2.39666245	
242.45	3.93362938	1.75806294	1.73527862	2.89432923	
249.80	4.43362938	1.25963573	1.23899564	3.39214764	
257.14	4.93362938	0.76168945	0.74282311	3.89025993	
264.49	5.43362938	1.25874106	1.23858347	4.38873813	
271.84	5.93362938	1.75428489	1.73335423	4.88758298	
279.18	0.15044408	2.24752433	2.22630823	5.38674216	
286.53	0.65044408	2.73781228	2.71670980	5.88613274	
293.88	1.15044408	3.22545373	3.20472015	0.10247288	
301.22	1.65044408	3.71226792	3.69197073	0.60203224	
308.57	2.15044408	3.22387311	3.20327297	1.10152384	
315.92	2.65044408	2.73256829	2.71197422	1.60084760	
323.27	3.15044408	3.22666752	3.20563253	2.09991013	
330.61	3.65044408	3.72279590	3.70081548	2.59863644	
337.96	4.15044408	4.22020283	4.19676274	3.09698932	
345.31	4.65044408	4.71834747	4.69299382	3.59499189	
352.65	5.15044408	5.21686730	5.18928384	3.09724272	
360.00	6.15044408	6.21618108	6.18742736	2.09841554	
